# Charging an 18 cell battery
# Temperatures in this file seem accurate
#
20:55.15 E:  0,B:189,B:22.62V@2.13,D:31.22V@1.63,T:24.1
20:55.25 E:  0,B:189,B:22.62V@2.12,D:31.22V@1.62,T:24.1
20:55.35 E:  0,B:189,B:22.62V@2.11,D:31.22V@1.60,T:24.1
20:55.45 E:  0,B:189,B:22.62V@2.10,D:31.22V@1.59,T:24.2
20:55.55 E:  0,B:189,B:22.62V@2.10,D:31.22V@1.59,T:24.2
20:56.05 E:  0,B:189,B:22.62V@2.09,D:31.22V@1.60,T:24.2
20:56.15 E:  0,B:189,B:22.62V@2.08,D:31.22V@1.60,T:24.2
20:56.25 E:  0,B:189,B:22.62V@2.08,D:31.22V@1.59,T:24.2
20:56.35 E:  0,B:189,B:22.62V@2.08,D:31.22V@1.60,T:24.2
20:56.45 E:  0,B:189,B:22.62V@2.08,D:31.22V@1.59,T:24.2
20:56.55 E:  0,B:189,B:22.63V@2.06,D:31.22V@1.57,T:24.2
20:57.05 E:  0,B:189,B:22.63V@2.05,D:31.22V@1.56,T:24.2
20:57.15 E:  0,B:189,B:22.63V@2.05,D:31.22V@1.59,T:24.3
20:57.25 E:  0,B:189,B:22.63V@2.04,D:31.22V@1.56,T:24.3
20:57.35 E:  0,B:189,B:22.63V@2.04,D:31.22V@1.57,T:24.3
20:57.45 E:  0,B:189,B:22.63V@2.04,D:31.22V@1.56,T:24.3
20:57.55 E:  0,B:189,B:22.64V@2.02,D:31.22V@1.55,T:24.3
20:58.05 E:  0,B:189,B:22.64V@2.03,D:31.22V@1.55,T:24.3
20:58.15 E:  0,B:189,B:22.64V@2.02,D:31.22V@1.53,T:24.3
20:58.25 E:  0,B:189,B:22.64V@2.00,D:31.22V@1.52,T:24.3
20:58.35 E:  0,B:189,B:22.64V@2.02,D:31.22V@1.53,T:24.3
20:58.46 E:  0,B:189,B:22.64V@2.01,D:31.22V@1.53,T:24.4
20:58.56 E:  0,B:189,B:22.65V@2.00,D:31.22V@1.54,T:24.4
20:59.06 E:  0,B:189,B:22.64V@1.99,D:31.22V@1.52,T:24.4
20:59.16 E:  0,B:189,B:22.64V@1.99,D:31.22V@1.52,T:24.4
20:59.26 E:  0,B:189,B:22.65V@1.98,D:31.22V@1.51,T:24.4
20:59.36 E:  0,B:189,B:22.65V@1.96,D:31.22V@1.51,T:24.4
20:59.46 E:  0,B:189,B:22.65V@1.97,D:31.22V@1.51,T:24.4
20:59.56 E:  0,B:189,B:22.65V@1.98,D:31.22V@1.51,T:24.4
21:00.06 E:  0,B:189,B:22.65V@1.96,D:31.22V@1.49,T:24.4
21:00.16 E:  0,B:189,B:22.65V@1.96,D:31.22V@1.51,T:24.5
21:00.26 E:  0,B:189,B:22.65V@1.96,D:31.22V@1.50,T:24.5
21:00.36 E:  0,B:189,B:22.65V@1.94,D:31.22V@1.50,T:24.5
21:00.46 E:  0,B:189,B:22.65V@1.93,D:31.22V@1.48,T:24.5
21:00.56 E:  0,B:189,B:22.65V@1.93,D:31.22V@1.49,T:24.5
21:01.06 E:  0,B:189,B:22.65V@1.93,D:31.22V@1.48,T:24.5
21:01.16 E:  0,B:189,B:22.65V@1.93,D:31.22V@1.49,T:24.5
21:01.26 E:  0,B:189,B:22.65V@1.91,D:31.22V@1.46,T:24.5
21:01.36 E:  0,B:189,B:22.65V@1.91,D:31.22V@1.49,T:24.5
